DATE_INSERTED,ONSALEFROM,ONSALETO,SUPPLIER,PARTNERID,SUPPLIERTARIFFCODE,TARIFFNAME,FIXEDRATEPERIOD,TEST,MIN_CONSUMPTION,MAX_CONSUMPTION,FUELTYPE,PRODUCTTYPE,PROFILECLASS,AMR,Renewable Energy,RENEWABLE_ACQUISITION,COTTARIFF,ISUPLIFTALLOWED,ISFITSINCLUDED,DELPHISTART,DELPHIEND,TARIFFID,DNO_EXITZONE,MTC,LLFC,FIRST_SSD,LAST_SSD,Description of % adjustment column,% adjustment column,Description of £s adjustment column,£s adjustment column,STARTDATE,ENDDATE,PAYMENTTYPE,CURRENCY,Rate1_A_Start,Rate1_A_PER_kWh,Rate1_B_Start,Rate1_B_PER_kWh,Rate1_C_Start,Rate1_C_PER_kWh,Rate1_D_Start,Rate1_D_PER_kWh,Rate2_A_Start,Rate2_A_PER_kWh,Rate2_B_Start,Rate2_B_PER_kWh,Rate2_C_Start,Rate2_C_PER_kWh,Rate2_D_Start,Rate2_D_PER_kWh,Rate3_A_Start,Rate3_A_PER_kWh,Rate3_B_Start,Rate3_B_PER_kWh,Rate3_C_Start,Rate3_C_PER_kWh,Rate3_D_Start,Rate3_D_PER_kWh,Rate4_A_Start,Rate4_A_PER_kWh,Rate4_B_Start,Rate4_B_PER_kWh,Rate4_C_Start,Rate4_C_PER_kWh,Rate4_D_Start,Rate4_D_PER_kWh,Rate5_A_Start,Rate5_A_PER_kWh,Rate5_B_Start,Rate5_B_PER_kWh,Rate5_C_Start,Rate5_C_PER_kWh,Rate5_D_Start,Rate5_D_PER_kWh,Rate6_A_Start,Rate6_A_PER_kWh,Rate6_B_Start,Rate6_B_PER_kWh,Rate6_C_Start,Rate6_C_PER_kWh,Rate6_D_Start,Rate6_D_PER_kWh,Rate7_A_Start,Rate7_A_PER_kWh,Rate7_B_Start,Rate7_B_PER_kWh,Rate7_C_Start,Rate7_C_PER_kWh,Rate7_D_Start,Rate7_D_PER_kWh,Rate8_A_Start,Rate8_A_PER_kWh,Rate8_B_Start,Rate8_B_PER_kWh,Rate8_C_Start,Rate8_C_PER_kWh,Rate8_D_Start,Rate8_D_PER_kWh,R9_A_Start,R9_A_PER_kWh,R9_B_Start,R9_B_PER_kWh,R9_C_Start,R9_C_PER_kWh,R9_D_Start,R9_D_PER_kWh,DYLY_STDG_CHRG
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA10FA1G0,,12,,0,25000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.5214,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA10FFA1G0,,12,,0,25000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.5918,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA125FA1G0,,12,,25000,50000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.838,,3.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA125FFA1G0,,12,,25000,50000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.9098,,3.9958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA150FA1G0,,12,,50000,73200,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.0054,,3.6603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA150FFA1G0,,12,,50000,73200,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.0719,,3.7268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA173FA1G0,,12,,73200,100000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8299,,3.2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA173FFA1G0,,12,,73200,100000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8799,,3.3457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1100FA1G0,,12,,100000,125000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8427,,3.2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1100FFA1G0,,12,,100000,125000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.89,,3.2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1125FA1G0,,12,,125000,150000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8482,,3.1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1125FFA1G0,,12,,125000,150000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8938,,3.1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1150FA1G0,,12,,150000,175000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8496,,3.0979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1150FFA1G0,,12,,150000,175000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.894,,3.1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1175FA1G0,,12,,175000,200000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8527,,3.0679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1175FFA1G0,,12,,175000,200000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8962,,3.1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1200FA1G0,,12,,200000,225000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8532,,3.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1200FFA1G0,,12,,200000,225000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.896,,3.0858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1225FA1G0,,12,,225000,250000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8568,,3.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1225FFA1G0,,12,,225000,250000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8992,,3.0691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1250FA1G0,,12,,250000,293000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8588,,3.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1250FFA1G0,,12,,250000,293000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.9008,,3.0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1293FA1G0,,12,,293000,343000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1273,,3.2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1293FFA1G0,,12,,293000,343000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1819,,3.3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1343FA1G0,,12,,343000,393000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1201,,3.2297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1343FFA1G0,,12,,343000,393000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1737,,3.2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1393FA1G0,,12,,393000,443000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1162,,3.2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1393FFA1G0,,12,,393000,443000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1694,,3.2659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1443FA1G0,,12,,443000,493000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1133,,3.1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1443FFA1G0,,12,,443000,493000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.166,,3.2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1493FA1G0,,12,,493000,543000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1095,,3.1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1493FFA1G0,,12,,493000,543000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1617,,3.2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1543FA1G0,,12,,543000,593000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1077,,3.1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1543FFA1G0,,12,,543000,593000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1596,,3.2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1593FA1G0,,12,,593000,643000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1079,,3.1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1593FFA1G0,,12,,593000,643000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1596,,3.2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1643FA1G0,,12,,643000,693000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1036,,3.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1643FFA1G0,,12,,643000,693000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.155,,3.2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1693FA1G0,,12,,693000,732000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1042,,3.1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA1693FFA1G0,,12,,693000,732000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA1,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.1556,,3.2122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA20FA1G0,,12,,0,25000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.5211,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA20FFA1G0,,12,,0,25000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.5914,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA225FA1G0,,12,,25000,50000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8377,,3.9237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA225FFA1G0,,12,,25000,50000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.9094,,3.9954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA250FA1G0,,12,,50000,73200,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.0051,,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA250FFA1G0,,12,,50000,73200,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,3.0715,,3.7264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA273FA1G0,,12,,73200,100000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8296,,3.2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA273FFA1G0,,12,,73200,100000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8795,,3.3453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2100FA1G0,,12,,100000,125000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8424,,3.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2100FFA1G0,,12,,100000,125000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8896,,3.2482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2125FA1G0,,12,,125000,150000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8479,,3.1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2125FFA1G0,,12,,125000,150000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8935,,3.1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2150FA1G0,,12,,150000,175000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8493,,3.0976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2150FFA1G0,,12,,150000,175000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8936,,3.1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2175FA1G0,,12,,175000,200000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8523,,3.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2175FFA1G0,,12,,175000,200000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8958,,3.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2200FA1G0,,12,,200000,225000,Gas,F,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8529,,3.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,B43661EA2200FFA1G0,,12,,200000,225000,Gas,FF,Gas,Yes,No,,,Yes,,,,LD,EA2,,,01/11/2019 00:00,01/08/2020 00:00,,,,,01/11/2019 00:00,,1,GBP,,2.8957,,3.0855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
