EXIT ZONE,NETWORK,STANDING CHARGE,UNIT RATE,MIN AQ,MAX AQ,CONTRACT LENGTH,EARLIEST START DATE,MAX START DATE
EA1,East of England,0.2,3.257,2000,10000,12,13/03/2018,28/02/2019
EA2,East of England,0.2,3.257,2000,10000,12,13/03/2018,28/02/2019
EA3,East of England,0.2,3.257,2000,10000,12,13/03/2018,28/02/2019
EA4,East of England,0.2,3.257,2000,10000,12,13/03/2018,28/02/2019
EM1,East Midlands,0.2,3.293,2000,10000,12,13/03/2018,28/02/2019
EM2,East Midlands,0.2,3.293,2000,10000,12,13/03/2018,28/02/2019
EM3,East Midlands,0.2,3.293,2000,10000,12,13/03/2018,28/02/2019
EM4,East Midlands,0.2,3.293,2000,10000,12,13/03/2018,28/02/2019
NE1,North of England,0.2,3.331,2000,10000,12,13/03/2018,28/02/2019
NE2,North of England,0.2,3.331,2000,10000,12,13/03/2018,28/02/2019
NE3,North of England,0.2,3.331,2000,10000,12,13/03/2018,28/02/2019
NO1,North of England,0.2,3.331,2000,10000,12,13/03/2018,28/02/2019
NO2,North of England,0.2,3.331,2000,10000,12,13/03/2018,28/02/2019
NT1,London,0.21,3.369,2000,10000,12,13/03/2018,28/02/2019
NT2,London,0.21,3.369,2000,10000,12,13/03/2018,28/02/2019
NT3,London,0.21,3.369,2000,10000,12,13/03/2018,28/02/2019
NW1,North West,0.21,3.369,2000,10000,12,13/03/2018,28/02/2019
NW2,North West,0.21,3.369,2000,10000,12,13/03/2018,28/02/2019
SC1,Scotland,0.21,3.404,2000,10000,12,13/03/2018,28/02/2019
SC2,Scotland,0.21,3.404,2000,10000,12,13/03/2018,28/02/2019
SC4,Scotland,0.21,3.404,2000,10000,12,13/03/2018,28/02/2019
SE1,South of England,0.21,3.372,2000,10000,12,13/03/2018,28/02/2019
SE2,South of England,0.21,3.372,2000,10000,12,13/03/2018,28/02/2019
SO1,South of England,0.21,3.372,2000,10000,12,13/03/2018,28/02/2019
SO2,South of England,0.21,3.372,2000,10000,12,13/03/2018,28/02/2019
SW1,South West,0.21,3.441,2000,10000,12,13/03/2018,28/02/2019
SW2,South West,0.21,3.441,2000,10000,12,13/03/2018,28/02/2019
SW3,South West,0.21,3.441,2000,10000,12,13/03/2018,28/02/2019
WM1,West Midlands,0.2,3.296,2000,10000,12,13/03/2018,28/02/2019
WM2,West Midlands,0.2,3.296,2000,10000,12,13/03/2018,28/02/2019
WM3,West Midlands,0.2,3.296,2000,10000,12,13/03/2018,28/02/2019
WA1,Wales North,0.21,3.405,2000,10000,12,13/03/2018,28/02/2019
WA2,Wales South,0.2,3.332,2000,10000,12,13/03/2018,28/02/2019
EA1,East of England,0.2,3.229,2000,10000,24,13/03/2018,28/02/2019
EA2,East of England,0.2,3.229,2000,10000,24,13/03/2018,28/02/2019
EA3,East of England,0.2,3.229,2000,10000,24,13/03/2018,28/02/2019
EA4,East of England,0.2,3.229,2000,10000,24,13/03/2018,28/02/2019
EM1,East Midlands,0.2,3.266,2000,10000,24,13/03/2018,28/02/2019
EM2,East Midlands,0.2,3.266,2000,10000,24,13/03/2018,28/02/2019
EM3,East Midlands,0.2,3.266,2000,10000,24,13/03/2018,28/02/2019
EM4,East Midlands,0.2,3.266,2000,10000,24,13/03/2018,28/02/2019
NE1,North of England,0.2,3.34,2000,10000,24,13/03/2018,28/02/2019
NE2,North of England,0.2,3.34,2000,10000,24,13/03/2018,28/02/2019
NE3,North of England,0.2,3.34,2000,10000,24,13/03/2018,28/02/2019
NO1,North of England,0.2,3.34,2000,10000,24,13/03/2018,28/02/2019
NO2,North of England,0.2,3.34,2000,10000,24,13/03/2018,28/02/2019
NT1,London,0.21,3.414,2000,10000,24,13/03/2018,28/02/2019
NT2,London,0.21,3.414,2000,10000,24,13/03/2018,28/02/2019
NT3,London,0.21,3.414,2000,10000,24,13/03/2018,28/02/2019
NW1,North West,0.2,3.341,2000,10000,24,13/03/2018,28/02/2019
NW2,North West,0.2,3.341,2000,10000,24,13/03/2018,28/02/2019
