ID,ProductType,Product,Region,Profile,MTC,LLF,ContractLength,StandingCharge,StandChgePeriod,CapacityCharge,MDCharge,Day/All/STOD OtherDayUnits,SecondaryPrice,Threshold,NightUnitPrice,Eve&Wkend/Control/STOD WinterPeak,STOD WinterWeekDay,ReactiveCharge,InvoiceValue,RetentionValue,AnnualConsumption,UnitRate1Desc,UnitRate1Price,UnitRate2Desc,UnitRate2Price,MinAQ,MaxAQ
,Gas,CNG Gas >=2000 <=9999,EA,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,EA,,0,0,One Year,0,,,,0.0434099,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,EA,,0,0,One Year,0,,,,0.0423963,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,EA,,0,0,One Year,0,,,,0.03878542,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,EA,,0,0,One Year,0,,,,0.03836094,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,EA,,0,0,One Year,0,,,,0.03804062,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,EA,,0,0,One Year,0,,,,0.0378267,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,EM,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,EM,,0,0,One Year,0,,,,0.04326766,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,EM,,0,0,One Year,0,,,,0.04225518,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,EM,,0,0,One Year,0,,,,0.0389075,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,EM,,0,0,One Year,0,,,,0.03847966,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,EM,,0,0,One Year,0,,,,0.03815822,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,EM,,0,0,One Year,0,,,,0.0379443,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,NE,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,NE,,0,0,One Year,0,,,,0.0433259,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,NE,,0,0,One Year,0,,,,0.04231678,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,NE,,0,0,One Year,0,,,,0.0394003,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,NE,,0,0,One Year,0,,,,0.03892654,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,NE,,0,0,One Year,0,,,,0.0385715,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,NE,,0,0,One Year,0,,,,0.03833406,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,NO,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,NO,,0,0,One Year,0,,,,0.04327998,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,NO,,0,0,One Year,0,,,,0.04226638,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,NO,,0,0,One Year,0,,,,0.03896126,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,NO,,0,0,One Year,0,,,,0.03849086,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,NO,,0,0,One Year,0,,,,0.03813582,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,NO,,0,0,One Year,0,,,,0.03789838,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,NT,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,NT,,0,0,One Year,0,,,,0.04533182,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,NT,,0,0,One Year,0,,,,0.04431934,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,NT,,0,0,One Year,0,,,,0.03982478,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,NT,,0,0,One Year,0,,,,0.03930174,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,NT,,0,0,One Year,0,,,,0.0389075,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,NT,,0,0,One Year,0,,,,0.0386443,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,NW,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,NW,,0,0,One Year,0,,,,0.04434958,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,NW,,0,0,One Year,0,,,,0.0433371,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,NW,,0,0,One Year,0,,,,0.03974862,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,NW,,0,0,One Year,0,,,,0.0393667,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,NW,,0,0,One Year,0,,,,0.03907998,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,NW,,0,0,One Year,0,,,,0.0388851,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,SC,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,SC,,0,0,One Year,0,,,,0.0438915,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,SC,,0,0,One Year,0,,,,0.0428779,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,SC,,0,0,One Year,0,,,,0.0392323,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,SC,,0,0,One Year,0,,,,0.03876302,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,SC,,0,0,One Year,0,,,,0.03840686,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,SC,,0,0,One Year,0,,,,0.0381739,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,SE,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,SE,,0,0,One Year,0,,,,0.04571822,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,SE,,0,0,One Year,0,,,,0.04470462,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,SE,,0,0,One Year,0,,,,0.0398819,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,SE,,0,0,One Year,0,,,,0.03941934,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,SE,,0,0,One Year,0,,,,0.03907214,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,SE,,0,0,One Year,0,,,,0.03883918,,,,,,,,,0,,,,0,219804,293071
,Gas,CNG Gas >=2000 <=9999,SO,,0,0,One Year,0,,,,0.0532,,,,,,,,,0,,,,0,2000,9999
,Gas,CNG Gas >10000 <=36633,SO,,0,0,One Year,0,,,,0.04573278,,,,,,,,,0,,,,0,10000,36633
,Gas,CNG Gas >36634 <=73267,SO,,0,0,One Year,0,,,,0.04472366,,,,,,,,,0,,,,0,36634,73267
,Gas,CNG Gas >73268 <=109901,SO,,0,0,One Year,0,,,,0.04070398,,,,,,,,,0,,,,0,73268,109901
,Gas,CNG Gas >109902 <=146535,SO,,0,0,One Year,0,,,,0.04024142,,,,,,,,,0,,,,0,109902,146535
,Gas,CNG Gas >146536 <=219803,SO,,0,0,One Year,0,,,,0.03989422,,,,,,,,,0,,,,0,146536,219803
,Gas,CNG Gas >219804 <=293071,SO,,0,0,One Year,0,,,,0.03966014,,,,,,,,,0,,,,0,219804,293071
