Product Name,Region,AQ Min (kWh),AQ Max (kWh),Contract Length (months),Valid from,Valid to,p/kWh
10EA3B15814 Start Month 4 - 1 Year,EA3,150001,200000,12,01/02/2020,31/01/2021,2.716431
10EA3B15814 Start Month 4 - 2 Year,EA3,150001,200000,24,01/02/2020,31/01/2022,2.742677
10EA3B15814 Start Month 4 - 3 Year,EA3,150001,200000,36,01/02/2020,31/01/2023,2.753387
10EA3B15814 Start Month 4 - 4 Year,EA3,150001,200000,48,01/02/2020,31/01/2024,2.773312
10EA3B15814 Start Month 4 - 5 Year,EA3,150001,200000,60,01/02/2020,31/01/2025,2.779412
10EA3B15814 Start Month 5 - 1 Year,EA3,150001,200000,12,01/03/2020,28/02/2021,2.737338
10EA3B15814 Start Month 5 - 2 Year,EA3,150001,200000,24,01/03/2020,28/02/2022,2.750745
10EA3B15814 Start Month 5 - 3 Year,EA3,150001,200000,36,01/03/2020,28/02/2023,2.761275
10EA3B15814 Start Month 5 - 4 Year,EA3,150001,200000,48,01/03/2020,29/02/2024,2.781796
10EA3B15814 Start Month 5 - 5 Year,EA3,150001,200000,60,01/03/2020,28/02/2025,2.788213
10EA3B15814 Start Month 6 - 1 Year,EA3,150001,200000,12,01/04/2020,31/03/2021,2.768042
10EA3B15814 Start Month 6 - 2 Year,EA3,150001,200000,24,01/04/2020,31/03/2022,2.765491
10EA3B15814 Start Month 6 - 3 Year,EA3,150001,200000,36,01/04/2020,31/03/2023,2.773801
10EA3B15814 Start Month 6 - 4 Year,EA3,150001,200000,48,01/04/2020,31/03/2024,2.794029
10EA3B15814 Start Month 6 - 5 Year,EA3,150001,200000,60,01/04/2020,31/03/2025,2.796901
10EA3B15814 Start Month 7 - 1 Year,EA3,150001,200000,12,01/05/2020,30/04/2021,2.773383
10EA3B15814 Start Month 7 - 2 Year,EA3,150001,200000,24,01/05/2020,30/04/2022,2.768622
10EA3B15814 Start Month 7 - 3 Year,EA3,150001,200000,36,01/05/2020,30/04/2023,2.776124
10EA3B15814 Start Month 7 - 4 Year,EA3,150001,200000,48,01/05/2020,30/04/2024,2.798374
10EA3B15814 Start Month 7 - 5 Year,EA3,150001,200000,60,01/05/2020,30/04/2025,2.789397
10EA3B15814 Start Month 8 - 1 Year,EA3,150001,200000,12,01/06/2020,31/05/2021,2.775302
10EA3B15814 Start Month 8 - 2 Year,EA3,150001,200000,24,01/06/2020,31/05/2022,2.77125
10EA3B15814 Start Month 8 - 3 Year,EA3,150001,200000,36,01/06/2020,31/05/2023,2.779055
10EA3B15814 Start Month 8 - 4 Year,EA3,150001,200000,48,01/06/2020,31/05/2024,2.799283
10EA3B15814 Start Month 8 - 5 Year,EA3,150001,200000,60,01/06/2020,31/05/2025,2.780772
10EA3B15814 Start Month 9 - 1 Year,EA3,150001,200000,12,01/07/2020,30/06/2021,2.776098
10EA3B15814 Start Month 9 - 2 Year,EA3,150001,200000,24,01/07/2020,30/06/2022,2.772462
10EA3B15814 Start Month 9 - 3 Year,EA3,150001,200000,36,01/07/2020,30/06/2023,2.780065
10EA3B15814 Start Month 9 - 4 Year,EA3,150001,200000,48,01/07/2020,30/06/2024,2.790409
10EA3B15814 Start Month 9 - 5 Year,EA3,150001,200000,60,01/07/2020,30/06/2025,2.761148
10EA1B15814 Start Month 1 - 1 Year,EA1,150001,200000,12,01/11/2019,31/10/2020,2.632025
10EA1B15814 Start Month 1 - 2 Year,EA1,150001,200000,24,01/11/2019,31/10/2021,2.692522
10EA1B15814 Start Month 1 - 3 Year,EA1,150001,200000,36,01/11/2019,31/10/2022,2.717673
10EA1B15814 Start Month 1 - 4 Year,EA1,150001,200000,48,01/11/2019,31/10/2023,2.738899
10EA1B15814 Start Month 1 - 5 Year,EA1,150001,200000,60,01/11/2019,31/10/2024,2.749948
10EA1B15814 Start Month 10 - 1 Year,EA1,150001,200000,12,01/08/2020,31/07/2021,2.786832
10EA1B15814 Start Month 10 - 2 Year,EA1,150001,200000,24,01/08/2020,31/07/2022,2.783309
10EA1B15814 Start Month 10 - 3 Year,EA1,150001,200000,36,01/08/2020,31/07/2023,2.790508
10EA1B15814 Start Month 10 - 4 Year,EA1,150001,200000,48,01/08/2020,31/07/2024,2.790653
10EA1B15814 Start Month 10 - 5 Year,EA1,150001,200000,60,01/08/2020,31/07/2025,2.753979
10EA1B15814 Start Month 11 - 1 Year,EA1,150001,200000,12,01/09/2020,31/08/2021,2.78865
10EA1B15814 Start Month 11 - 2 Year,EA1,150001,200000,24,01/09/2020,31/08/2022,2.784117
10EA1B15814 Start Month 11 - 3 Year,EA1,150001,200000,36,01/09/2020,31/08/2023,2.793247
10EA1B15814 Start Month 11 - 4 Year,EA1,150001,200000,48,01/09/2020,31/08/2024,2.793291
10EA1B15814 Start Month 11 - 5 Year,EA1,150001,200000,60,01/09/2020,31/08/2025,2.735971
10EA1B15814 Start Month 12 - 1 Year,EA1,150001,200000,12,01/10/2020,30/09/2021,2.787638
10EA1B15814 Start Month 12 - 2 Year,EA1,150001,200000,24,01/10/2020,30/09/2022,2.784521
10EA1B15814 Start Month 12 - 3 Year,EA1,150001,200000,36,01/10/2020,30/09/2023,2.795572
10EA1B15814 Start Month 12 - 4 Year,EA1,150001,200000,48,01/10/2020,30/09/2024,2.795818
10EA1B15814 Start Month 12 - 5 Year,EA1,150001,200000,60,01/10/2020,30/09/2025,2.727245
