Product Name,MTC,Region,Profiles,Contract Length,Min,Max,Valid From,Valid To,Units (p/kWh),Day Units (p/kWh),Night Units (p/kWh),Eve/We Units (p/kWh),Weekday Units (p/kWh),Winter Eve Units (p/kWh)
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,5000,10000,07/10/2019,06/10/2020,,16.5,11.5,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,10001,20000,07/10/2019,06/10/2020,,15.4,10.4,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,20001,30000,07/10/2019,06/10/2020,,14.95,9.95,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,30001,40000,07/10/2019,06/10/2020,,14.86,9.86,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,40001,50000,07/10/2019,06/10/2020,,14.76,9.76,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,50001,60000,07/10/2019,06/10/2020,,14.73,9.73,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,60001,73200,07/10/2019,06/10/2020,,14.71,9.71,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,73201,100000,07/10/2019,06/10/2020,,14.68,9.68,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,100001,150000,07/10/2019,06/10/2020,,14.65,9.65,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,150001,200000,07/10/2019,06/10/2020,,14.64,9.64,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,200001,250000,07/10/2019,06/10/2020,,14.63,9.63,,,
EELC  P4 2R (Split Rate) 12 months,142 143 146 147 148 149,10,4,12,250001,293000,07/10/2019,06/10/2020,,14.62,9.62,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,5000,10000,07/10/2019,06/10/2021,,16.86,11.62,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,10001,20000,07/10/2019,06/10/2021,,15.75,10.51,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,20001,30000,07/10/2019,06/10/2021,,15.29,10.05,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,30001,40000,07/10/2019,06/10/2021,,15.2,9.96,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,40001,50000,07/10/2019,06/10/2021,,15.1,9.86,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,50001,60000,07/10/2019,06/10/2021,,15.07,9.83,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,60001,73200,07/10/2019,06/10/2021,,15.05,9.81,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,73201,100000,07/10/2019,06/10/2021,,15.02,9.78,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,100001,150000,07/10/2019,06/10/2021,,15,9.76,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,150001,200000,07/10/2019,06/10/2021,,14.98,9.74,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,200001,250000,07/10/2019,06/10/2021,,14.97,9.73,,,
EELC  P4 2R (Split Rate) 24 months,142 143 146 147 148 149,10,4,24,250001,293000,07/10/2019,06/10/2021,,14.96,9.72,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,5000,10000,07/10/2019,06/10/2022,,16.99,11.75,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,10001,20000,07/10/2019,06/10/2022,,15.87,10.63,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,20001,30000,07/10/2019,06/10/2022,,15.41,10.17,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,30001,40000,07/10/2019,06/10/2022,,15.32,10.08,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,40001,50000,07/10/2019,06/10/2022,,15.22,9.98,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,50001,60000,07/10/2019,06/10/2022,,15.19,9.95,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,60001,73200,07/10/2019,06/10/2022,,15.16,9.92,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,73201,100000,07/10/2019,06/10/2022,,15.13,9.89,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,100001,150000,07/10/2019,06/10/2022,,15.11,9.87,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,150001,200000,07/10/2019,06/10/2022,,15.09,9.85,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,200001,250000,07/10/2019,06/10/2022,,15.08,9.84,,,
EELC  P4 2R (Split Rate) 36 months,142 143 146 147 148 149,10,4,36,250001,293000,07/10/2019,06/10/2022,,15.07,9.83,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,5000,10000,07/10/2019,06/10/2023,,17.28,11.9,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,10001,20000,07/10/2019,06/10/2023,,16.15,10.77,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,20001,30000,07/10/2019,06/10/2023,,15.69,10.31,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,30001,40000,07/10/2019,06/10/2023,,15.6,10.22,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,40001,50000,07/10/2019,06/10/2023,,15.5,10.12,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,50001,60000,07/10/2019,06/10/2023,,15.47,10.09,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,60001,73200,07/10/2019,06/10/2023,,15.44,10.06,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,73201,100000,07/10/2019,06/10/2023,,15.42,10.04,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,100001,150000,07/10/2019,06/10/2023,,15.39,10.01,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,150001,200000,07/10/2019,06/10/2023,,15.37,9.99,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,200001,250000,07/10/2019,06/10/2023,,15.36,9.98,,,
EELC  P4 2R (Split Rate) 48 months,142 143 146 147 148 149,10,4,48,250001,293000,07/10/2019,06/10/2023,,15.35,9.97,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,5000,10000,07/10/2019,06/10/2024,,17.66,12.12,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,10001,20000,07/10/2019,06/10/2024,,16.52,10.98,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,20001,30000,07/10/2019,06/10/2024,,16.06,10.52,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,30001,40000,07/10/2019,06/10/2024,,15.97,10.43,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,40001,50000,07/10/2019,06/10/2024,,15.86,10.32,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,50001,60000,07/10/2019,06/10/2024,,15.83,10.29,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,60001,73200,07/10/2019,06/10/2024,,15.81,10.27,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,73201,100000,07/10/2019,06/10/2024,,15.78,10.24,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,100001,150000,07/10/2019,06/10/2024,,15.75,10.21,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,150001,200000,07/10/2019,06/10/2024,,15.73,10.19,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,200001,250000,07/10/2019,06/10/2024,,15.72,10.18,,,
EELC  P4 2R (Split Rate) 60 months,142 143 146 147 148 149,10,4,60,250001,293000,07/10/2019,06/10/2024,,15.71,10.17,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,5000,10000,07/10/2019,06/10/2020,15.46,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,10001,20000,07/10/2019,06/10/2020,14.36,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,20001,30000,07/10/2019,06/10/2020,13.91,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,30001,40000,07/10/2019,06/10/2020,13.82,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,40001,50000,07/10/2019,06/10/2020,13.72,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,50001,60000,07/10/2019,06/10/2020,13.69,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,60001,73200,07/10/2019,06/10/2020,13.67,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,73201,100000,07/10/2019,06/10/2020,13.64,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,100001,150000,07/10/2019,06/10/2020,13.62,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,150001,200000,07/10/2019,06/10/2020,13.6,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,200001,250000,07/10/2019,06/10/2020,13.59,,,,,
EELC P3 1R 12 months,279 500 501 717 801 802 873,10,3,12,250001,293000,07/10/2019,06/10/2020,13.58,,,,,
EELC P3 1R 24 months,279 500 501 717 801 802 873,10,3,24,5000,10000,07/10/2019,06/10/2021,15.75,,,,,
EELC P3 1R 24 months,279 500 501 717 801 802 873,10,3,24,10001,20000,07/10/2019,06/10/2021,14.64,,,,,
EELC P3 1R 24 months,279 500 501 717 801 802 873,10,3,24,20001,30000,07/10/2019,06/10/2021,14.18,,,,,
EELC P3 1R 24 months,279 500 501 717 801 802 873,10,3,24,30001,40000,07/10/2019,06/10/2021,14.1,,,,,
