ID,ProductType,Product,Region,Profile,MTC,LLF,ContractLength,StandingCharge,"Day/All/ WeekDay",NightUnitPrice,Eve&Wkend,MinAQ,MaxAQ
1,Electricity,"Single Rate",10,03,801,201,12,33.55,12.46,0,0,15000,250000
2,Electricity,"Single Rate",10,03,801,201,24,33.55,12.81,0,0,15000,250000
3,Electricity,"Single Rate",10,03,801,201,36,33.55,13.08,0,0,15000,250000
4,Electricity,"Single Rate",11,03,801,13,12,33.55,12.69,0,0,15000,250000
5,Electricity,"Single Rate",11,03,801,13,24,33.55,13.08,0,0,15000,250000
6,Electricity,"Single Rate",11,03,801,13,36,33.55,13.34,0,0,15000,250000
7,Electricity,"Single Rate",12,03,801,952,12,33.55,11.99,0,0,15000,250000
8,Electricity,"Single Rate",12,03,801,952,24,33.55,12.34,0,0,15000,250000
9,Electricity,"Single Rate",12,03,801,952,36,33.55,12.61,0,0,15000,250000
10,Electricity,"Single Rate",13,03,801,201,12,33.55,13.89,0,0,15000,250000
11,Electricity,"Single Rate",13,03,801,201,24,33.55,14.32,0,0,15000,250000
12,Electricity,"Single Rate",13,03,801,201,36,33.55,14.66,0,0,15000,250000
13,Electricity,"Single Rate",14,03,801,7,12,33.55,12.79,0,0,15000,250000
14,Electricity,"Single Rate",14,03,801,7,24,33.55,13.13,0,0,15000,250000
15,Electricity,"Single Rate",14,03,801,7,36,33.55,13.35,0,0,15000,250000
16,Electricity,"Single Rate",15,03,801,203,12,33.55,13.05,0,0,15000,250000
17,Electricity,"Single Rate",15,03,801,203,24,33.55,13.36,0,0,15000,250000
18,Electricity,"Single Rate",15,03,801,203,36,33.55,13.59,0,0,15000,250000
19,Electricity,"Single Rate",16,03,801,631,12,33.55,12.82,0,0,15000,250000
20,Electricity,"Single Rate",16,03,801,631,24,33.55,13.16,0,0,15000,250000
21,Electricity,"Single Rate",16,03,801,631,36,33.55,13.39,0,0,15000,250000
22,Electricity,"Single Rate",17,03,801,150,12,33.55,13.99,0,0,15000,250000
23,Electricity,"Single Rate",17,03,801,150,24,33.55,14.16,0,0,15000,250000
24,Electricity,"Single Rate",17,03,801,150,36,33.55,14.35,0,0,15000,250000
25,Electricity,"Single Rate",18,03,801,201,12,33.55,12.97,0,0,15000,250000
26,Electricity,"Single Rate",18,03,801,201,24,33.55,13.36,0,0,15000,250000
27,Electricity,"Single Rate",18,03,801,201,36,33.55,13.62,0,0,15000,250000
28,Electricity,"Single Rate",19,03,801,320,12,33.55,12.31,0,0,15000,250000
29,Electricity,"Single Rate",19,03,801,320,24,33.55,12.66,0,0,15000,250000
30,Electricity,"Single Rate",19,03,801,320,36,33.55,12.9,0,0,15000,250000
31,Electricity,"Single Rate",20,03,801,126,12,33.55,12.51,0,0,15000,250000
32,Electricity,"Single Rate",20,03,801,126,24,33.55,12.88,0,0,15000,250000
33,Electricity,"Single Rate",20,03,801,126,36,33.55,13.15,0,0,15000,250000
34,Electricity,"Single Rate",21,03,801,200,12,33.55,13.25,0,0,15000,250000
35,Electricity,"Single Rate",21,03,801,200,24,33.55,13.63,0,0,15000,250000
36,Electricity,"Single Rate",21,03,801,200,36,33.55,13.88,0,0,15000,250000
37,Electricity,"Single Rate",22,03,801,110,12,33.55,13.27,0,0,15000,250000
38,Electricity,"Single Rate",22,03,801,110,24,33.55,13.65,0,0,15000,250000
